Application Group Name,package signature,process,parameters ,proces Desc,priority,service (in nmap),
Microsoft Windows File Indexing Service Monitor,,cisvc.exe,,Microsoft Windows File Indexing Service Monitor,10,,
Nero Scout CD/DVD Burner Monitor,,nmbgmonitor.exe,,Nero Scout CD/DVD Burner Monitor,10,,
Nero Scout CD/DVD Burner File Index Store,,nmindexstoresvr..exe,,Nero Scout CD/DVD Burner File Index Store,10,,
Nero Scout CD/DVD Burner File Indexer,,nmindexingservice..exe,,Nero Scout CD/DVD Burner File Indexer,10,,
Microsoft Telephone API (TAPI) Service,,svchost.exe,"""-k tapisrv""",Microsoft Telephone API (TAPI) Service,10,,
Microsoft Error reporting Service,,svchost.exe,"""-k WinErr""",Microsoft Error reporting Service,10,,
ProspectHills Phoenix,,,,ProspectHills Phoenix,1,,PH_SYS_APP_SEC_MGMT
Juniper Security Central Manager,,,,Juniper Security Central Manager,1,,PH_SYS_APP_SEC_MGMT
Checkpoint SmartCenter,,,,Checkpoint SmartCenter,1,,PH_SYS_APP_SEC_MGMT
Sonicwall Global Security Manager,,,,Sonicwall Global Security Manager,1,,PH_SYS_APP_SEC_MGMT
Fortinet FortiManager,,,,Fortinet FortiManager,1,,PH_SYS_APP_SEC_MGMT
WatchGuard System Manager,,,,WatchGuard System Manager,1,,PH_SYS_APP_SEC_MGMT
IBM ISS SiteProtector Mgmt Server,,,,IBM ISS SiteProtector Mgmt Server,1,,PH_SYS_APP_SEC_MGMT
3Com TippingPoint Security Management System,,,,3Com TippingPoint Security Management System,1,,PH_SYS_APP_SEC_MGMT
Cisco CSA Management Center,,,,Cisco CSA Management Center,1,,PH_SYS_APP_SEC_MGMT
Generic Java App Server,,,,Generic Java App Server,1,,PH_SYS_APP_APP_SERVER
SUN Glassfish App Server,,,,SUN Glassfish App Server,1,,PH_SYS_APP_APP_SERVER
Redhat JBOSS App Server,,,,Redhat JBOSS App Server,1,,PH_SYS_APP_APP_SERVER
IBM WebSphere App Server,,,,IBM WebSphere App Server,1,,PH_SYS_APP_APP_SERVER
BEA WebLogic App Server,,,,BEA WebLogic App Server,1,,PH_SYS_APP_APP_SERVER
EMC RSA Authentication Manager,,,,EMC RSA Authentication Manager,1,,PH_SYS_APP_SEC_MGMT
Juniper Steel-Belted RADIUS Server,,radius.exe,sbr.xml,Juniper Steel-Belted RADIUS Server,10,,PH_SYS_APP_AUTH_SERVER
InfoBlox DNS,,,,InfoBlox DNS,1,,PH_SYS_APP_DNS_SERVER
Unix Syslog Server,,"Klogd,Rklogd,Syslogd,syslog-ng,rsyslogd",,Syslog Server,10,syslog,PH_SYS_APP_LOG_MGMT_SERVER
Nagios Server,,nagios,,Nagios Server,10,,PH_SYS_APP_MGMT_SERVER
Microsoft Domain Controller,,,,Microsoft Domain Controller,1,,PH_SYS_APP_DOMAIN_CONTROLLER
Imperva Securesphere MX Management Server,,,,Imperva Securesphere MX Management Server,1,,PH_SYS_APP_SEC_MGMT
Snort IPS,,snort,,Snort IPS,1,,PH_SYS_APP_NETWORK_IPS
QualysGuard Vulnerability Scanner,,,,QualysGuard Vulnerability Scanner,1,,PH_SYS_APP_SEC_MGMT
nCircle Suite360 Vulnerability Scanner,,,,nCircle Suite360 Vulnerability Scanner,1,,PH_SYS_APP_SEC_MGMT
Nessus Vulnerability Scanner,,nessusd,,Nessus Vulnerability Scanner,1,,PH_SYS_APP_SEC_MGMT
ProspectHills AccelOps,,phMonitor,,ProspectHills AccelOps Monitor Service,10,PHMONITOR,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phParser,,ProspectHills AccelOps Event Parsing Service,10,PHPARSER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phQueryMaster,,ProspectHills AccelOps Query Master Service,10,PHQUERYMASTER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phQueryWorker,,ProspectHills AccelOps Query Worker Service,10,PHQUERYWORKER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phRuleMaster,,ProspectHills AccelOps Rule Master Service,10,,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phRuleWorker,,ProspectHills AccelOps Rule Worker Service,10,,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phReportMaster,,ProspectHills AccelOps Report Master Service,10,PHREPORTMASTER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phReportWorker,,ProspectHills AccelOps Report Worker Service,10,PHREPORTWORKER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phIdentityMaster,,ProspectHills AccelOps  Identity Master Service,10,PHIDENTITYMASTER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phIdentityWorker,,ProspectHills AccelOps Identity Worker Service,10,PHIDENTITYWORKER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phDiscover,,ProspectHills AccelOps Discover Module,10,PHDISCOVER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phDataManager,,ProspectHills AccelOps Data Management Service,10,PHDATAMANAGER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phAgentManager,,ProspectHills AccelOps Agent Manager Service,10,PHAGENTMANAGER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phEventPackager,,ProspectHills AccelOps Event packager Service,10,PHEVENTPACKAGER,PH_SYS_APP_ACCELOPS
ProspectHills AccelOps,,phCheckpoint,,ProspectHills AccelOps Checkpoint Firewall Service,10,PHCHECKPOINTAGENT,PH_SYS_APP_ACCELOPS
Websense Web Security,,PolicyServer,,Websense Web Security,10,,PH_SYS_APP_SEC_GW
Websense Web Security ,,UserService,,Websense Web Security User Service,10,,PH_SYS_APP_SEC_GW
Websense Web Security ,,NetworkAgent,,Websense Web Security Network Agent,10,,PH_SYS_APP_SEC_GW
Websense Web Security ,,RadiusAgent,,Websense Web Security Radius Agent,10,,PH_SYS_APP_SEC_GW
Websense Web Security ,,postgres,"""-D /opt/Websense/bin""",Websense Web Security Database,10,,PH_SYS_APP_SEC_GW
Websense Mail Security,,STEMRules.exe,,Websense Mail Security,10,,PH_SYS_APP_SEC_GW
Websense Mail Security ,,STEMRCV.exe,,Websense Mail Security (SurfControl Filter Rcv),10,,PH_SYS_APP_SEC_GW
Websense Mail Security ,,STEMSND.exe,,Websense Mail Security (SurfControl Filter Send),10,,PH_SYS_APP_SEC_GW
Websense Mail Security ,,STEMWADM.exe,,Websense Mail Security (SurfControl Web Admin),10,,PH_SYS_APP_SEC_GW
Websense Mail Security ,,STEMSCHED.exe,,Websense Mail Security (SurfControl Scheduler),10,,PH_SYS_APP_SEC_GW
Websense Log Server,,,,Websense Log Server,1,,PH_SYS_APP_LOG_MGMT_SERVER
Microsoft PPTP/L2TP VPN,,,,Microsoft PPTP/L2TP VPN,1,,PH_SYS_APP_VPN_GATEWAY
Astaro Security Gateway,,,,Astaro Security Gateway,1,,PH_SYS_APP_SEC_GW
Microsoft Full Text Search Core Indexer,,msftesql.exe,,Microsoft Full Text Search Core Indexer,10,,
Microsoft Text Search Filter Daemon,,Msftefd.exe,,Microsoft Text Search Filter Daemon,10,,
Microsoft Text Search ,,Microsoft.Exchange.Search.ExSearch.exe,,Microsoft Text Search ,10,,
Microsoft Exchange,,MSExchangeADTopologyService.exe,,MS Exchange Active Directory Topology Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,store.exe,,MS Exchange Information store,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,mad.exe,,MS Exchange System Attendant,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.AntispamUpdateSvc.exe,,MS Exchange Antispam Update,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.EdgeSyncSvc.exe,,MS Exchange Edge Synch Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,MsExchangeFDS.exe,,MS Exchange File Distribution Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,MSExchangeMailboxAssistants.exe,,MS Exchange Mailbox Assistant Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,MSExchangeMailSubmission.exe ,,MS Exchange Mail Submission Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.Cluster.ReplayService.exe,,MS Exchange Cluster Replay Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.ServiceHost.exe,,MS Exchange Service Host,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,MSExchangeTransport.exe,,MS Exchange Transport Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,MSExchangeTransportLogSearch.exe,,MS Exchange Transport Log Search Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,EdgeTransport.exe,,MS Exchange Edge Transport Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.Pop3Service.exe ,,MS Exchange POP3 Service,10,pop3;kpop;pop2;pop3s,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.Pop3.exe ,,MS Exchange POP3 Process,10,pop3;kpop;pop2;pop3s,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.Imap4Service.exe,,MS Exchange IMAP4 Service,10,imap;imap3;imaps,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Microsoft.Exchange.Imap4.exe,,MS Exchange IMAP4 Process,10,imap;imap3;imaps,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,MSExchangeFDS.exe,,MS Exchange File Distribution Service,10,,PH_SYS_APP_MAIL_SERVER
Microsoft Exchange,,Exsetup.exe,,MS Exchange Setup,10,,PH_SYS_APP_MAIL_SERVER
