## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
91,Collector Name,phCollectorName,string,1,0,0,0,0,,1,1,0,0,0,,,,,,,,,
92,Component Event Type,compEventType,string,1,0,0,0,0,,1,1,0,0,0,1,1,1,1,1,1,,1,
93,Component Event Name,compEventName,string,1,0,0,0,0,,1,1,0,0,0,,,,,,,,,
94,Incident Category,phIncidentCategory,string,1,0,0,0,0,,0,1,0,0,0,,,,,,1,,,
95,Event Source,eventSource,string,1,0,0,0,0,,0,1,0,0,0,,,,,,1,,,
96,Device Event Type Group,devEventTypeGrp,string,1,0,0,0,0,,1,1,0,0,0,1,1,1,1,1,1,,,
## Network attributes (range 1000-1999),,,,,,,,,,,,,,,,,,,,,,,
1000,Source IP ,srcIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,1,
1001,Dest IP,destIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,1,
1002,Dest Host Name,destName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,1,
1003,Post-NAT Source IP,postNATSrcIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1004,Pre-NAT Dest IP,preNATDestIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1005,Host IP,hostIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,1,,,,1,,1,
1006,Host Name,hostName,string,0,1,0,0,0,,1,1,0,,0,,1,,,,1,,1,
1007,Source MAC,srcMACAddr,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1008,Dest MAC,destMACAddr,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1009,Host MAC,hostMACAddr,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1010,IP Protocol,ipProto,uint16,0,1,0,0,0,Code,1,1,0,0,0,,,1,,,1,,,
1011,Source TCP/UDP Port,srcIpPort,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1012,Dest TCP/UDP Port,destIpPort,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1013,Post-NAT Source Port,postNATSrcIpPort,uint16,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1014,Pre-NAT Dest Port,preNATDestIpPort,uint16,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1015,ICMP Type,icmpType,uint16,0,1,0,0,0,Code,1,1,0,0,0,,,1,,,1,,,
1016,ICMP Code,icmpCode,uint16,0,1,0,0,0,Code,1,1,0,0,0,,,1,,,1,,,
1017,TCP flags,tcpFlags,uchar,0,1,0,0,0,Code,1,1,0,0,0,,,1,,,1,,,
1018,Source Autonomous System Number,srcASNum,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1019,Dest Autonomous System Number,destASNum,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1020,Source VLAN,srcVLAN,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1021,Dest VLAN,destVLAN,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1022,Source Intf Name,srcIntfName,string,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,1,
1023,Dest Intf Name,destIntfName,string,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,1,
1024,Host Intf Name,intfName,string,0,1,0,0,0,,1,1,0,0,0,,1,,,,1,,1,
1025,Source Device Port,srcDevPort,string,0,1,0,0,0,,1,1,0,0,0,1,,,,,1,,,
1026,Dest Device Port,destDevPort,string,0,1,0,0,0,,1,1,0,0,0,1,,,,,1,,,
1027,Network Access Device IP,nepDevIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1028,Network Access Device Port,nepDevPort,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1029,Source Intf SNMP Index,srcSnmpIntfIndex,uint16,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1030,Dest Intf SNMP Index,destSnmpIntfIndex,uint16,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1031,IP Type of Service,tos,uchar,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1032,Sent Packets,sentPkts,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
